"precrq.ph.w": 0x7C000511
"precrq.qb.ph": 0x7C000311
"precrq_rs.ph.w": 0x7C000551
"precrqu_s.qb.ph": 0x7C0003D1
"pref": 0x7C000035
"prepend": 0x7C000071
"raddu.w.qb": 0x7C000510
"rddsp": 0x7C0004B8
"rdhwr": 0x7C00E83B
"repl.ph": 0x7C000292
"repl.qb": 0x7C000092
"replv.ph": 0x7C0002D2
"replv.qb": 0x7C0000D2
"rint.d": 0x4620001A
"rint.s": 0x4600001A
"rotr": 0x00200002
"rotrv": 0x00000046
"round.w.d": 0x4620000C
"round.w.s": 0x4600000C
"sat_s.b": 0x7870000A
"sat_s.d": 0x7800000A
"sat_s.h": 0x7860000A
"sat_s.w": 0x7840000A
"sat_u.b": 0x78F0000A
"sat_u.d": 0x7880000A
"sat_u.h": 0x78E0000A
"sat_u.w": 0x78C0000A
"sb": 0xA0000000
"sc": 0x7C000026
"scd": 0x7C000027
"sdbbp": 0x0000000E
"sdc1": 0xF4000000
"sdc2": 0x49E00000
"seb": 0x7C000420
"seh": 0x7C000620
"sel.d": 0x46200010
"sel.s": 0x46000010
"seleqz.d": 0x46200014
"seleqz.s": 0x46000014
"selnez.d": 0x46200017
"selnez.s": 0x46000017
"sh": 0xA4000000
"shf.b": 0x78000002
"shf.h": 0x79000002
"shf.w": 0x7A000002
"shilo": 0x7C0006B8
"shilov": 0x7C0006F8
"shll.ph": 0x7C000213
"shll.qb": 0x7C000013
"shll_s.ph": 0x7C000313
"shll_s.w": 0x7C000513
"shllv.ph": 0x7C000293
"shllv.qb": 0x7C000093
"shllv_s.ph": 0x7C000393
"shllv_s.w": 0x7C000593
"shra.ph": 0x7C000253
"shra.qb": 0x7C000113
"shra_r.ph": 0x7C000353
"shra_r.qb": 0x7C000153
"shra_r.w": 0x7C000553
"shrav.ph": 0x7C0002D3
"shrav.qb": 0x7C000193
"shrav_r.ph": 0x7C0003D3
"shrav_r.qb": 0x7C0001D3
"shrav_r.w": 0x7C0005D3
"shrl.ph": 0x7C000653
"shrl.qb": 0x7C000053
"shrlv.ph": 0x7C0006D3
"shrlv.qb": 0x7C0000D3
"sld.b": 0x78000014
"sld.d": 0x78600014
"sld.h": 0x78200014
"sld.w": 0x78400014
"sldi.b": 0x78000019
"sldi.d": 0x78380019
"sldi.h": 0x78200019
"sldi.w": 0x78300019
"sll": 0x00000080
"sll.b": 0x7800000D
"sll.d": 0x7860000D
"sll.h": 0x7820000D
"sll.w": 0x7840000D
"slli.b": 0x78700009
"slli.d": 0x78000009
"slli.h": 0x78600009
"slli.w": 0x78400009
"sllv": 0x00000004
"slt": 0x0000002A
"slti": 0x28000000
"sltiu": 0x2C000000
"sltu": 0x0000002B
"splat.b": 0x78800014
"splat.d": 0x78E00014
"splat.h": 0x78A00014
"splat.w": 0x78C00014
"splati.b": 0x78400019
"splati.d": 0x78780019
"splati.h": 0x78600019
"splati.w": 0x78700019
"sqrt.d": 0x46200004
"sqrt.s": 0x46000004
"sra": 0x00000003
"sra.b": 0x7880000D
"sra.d": 0x78E0000D
"sra.h": 0x78A0000D
"sra.w": 0x78C0000D
"srai.b": 0x78F00009
"srai.d": 0x78800009
"srai.h": 0x78E00009
"srai.w": 0x78C00009
"srar.b": 0x78800015
"srar.d": 0x78E00015
"srar.h": 0x78A00015
"srar.w": 0x78C00015
"srari.b": 0x7970000A
"srari.d": 0x7900000A
"srari.h": 0x7960000A
"srari.w": 0x7940000A
"srav": 0x00000007
"srl": 0x00000002
"srl.b": 0x7900000D
"srl.d": 0x7960000D
"srl.h": 0x7920000D
"srl.w": 0x7940000D
"srli.b": 0x79700009
"srli.d": 0x79000009
"srli.h": 0x79600009
"srli.w": 0x79400009
"srlr.b": 0x79000015
"srlr.d": 0x79600015
"srlr.h": 0x79200015
"srlr.w": 0x79400015
"srlri.b": 0x79F0000A
"srlri.d": 0x7980000A
"srlri.h": 0x79E0000A
"srlri.w": 0x79C0000A
"srlv": 0x00000006
"ssnop": 0x00000040
"st.b": 0x78000024
"st.d": 0x78000027
"st.h": 0x78000025
"st.w": 0x78000026
"sub": 0x00200022
"sub.d": 0x46200001
"sub.s": 0x46000001
"subq.ph": 0x7C0002D0
"subq_s.ph": 0x7C0003D0
"subq_s.w": 0x7C0005D0
