F2000510 vqrshl.s8
F3100510 vqrshl.u16
F3200510 vqrshl.u32
F3300510 vqrshl.u64
F3000510 vqrshl.u8
F2880950 vqrshrn.s16
F2900950 vqrshrn.s32
F2A00950 vqrshrn.s64
F3880950 vqrshrn.u16
F3900950 vqrshrn.u32
F3A00950 vqrshrn.u64
F3880850 vqrshrun.s16
F3900850 vqrshrun.s32
F3A00850 vqrshrun.s64
F2100410 vqshl.s16
F2200410 vqshl.s32
F2300410 vqshl.s64
F2000410 vqshl.s8
F3100410 vqshl.u16
F3200410 vqshl.u32
F3300410 vqshl.u64
F3000410 vqshl.u8
F3900610 vqshlu.s16
F3A00610 vqshlu.s32
F3800690 vqshlu.s64
F3880610 vqshlu.s8
F2880910 vqshrn.s16
F2900910 vqshrn.s32
F2A00910 vqshrn.s64
F3880910 vqshrn.u16
F3900910 vqshrn.u32
F3A00910 vqshrn.u64
F3880810 vqshrun.s16
F3900810 vqshrun.s32
F3A00810 vqshrun.s64
F2100210 vqsub.s16
F2200210 vqsub.s32
F2300210 vqsub.s64
F2000210 vqsub.s8
F3100210 vqsub.u16
F3200210 vqsub.u32
F3300210 vqsub.u64
F3000210 vqsub.u8
F3800400 vraddhn.i16
F3900400 vraddhn.i32
F3A00400 vraddhn.i64
F3BB0500 vrecpe.f32
F3BB0400 vrecpe.u32
F2000F10 vrecps.f32
F3B00100 vrev16.8
F3B40080 vrev32.16
F3B00080 vrev32.8
F3B40000 vrev64.16
F3B80000 vrev64.32
F3B00000 vrev64.8
F2100100 vrhadd.s16
F2200100 vrhadd.s32
F2000100 vrhadd.s8
F3100100 vrhadd.u16
F3200100 vrhadd.u32
F3000100 vrhadd.u8
FEB80A40 vrinta.f32
FEB80B40 vrinta.f64
FEBB0A40 vrintm.f32
FEBB0B40 vrintm.f64
FEB90A40 vrintn.f32
FEB90B40 vrintn.f64
FEBA0A40 vrintp.f32
FEBA0B40 vrintp.f64
6EB60A40 vrintr<c>.f32
6EB60B40 vrintr<c>.f64
6EB70A40 vrintx<c>.f32
6EB70B40 vrintx<c>.f64
6EB60AC0 vrintz<c>.f32
6EB60BC0 vrintz<c>.f64
F2100500 vrshl.s16
F2200500 vrshl.s32
F2300500 vrshl.s64
F2000500 vrshl.s8
F3100500 vrshl.u16
F3200500 vrshl.u32
F3300500 vrshl.u64
F3000500 vrshl.u8
F2900210 vrshr.s16
F2A00210 vrshr.s32
F2800290 vrshr.s64
F2880210 vrshr.s8
F3900210 vrshr.u16
F3A00210 vrshr.u32
F3800290 vrshr.u64
F3880210 vrshr.u8
F2880850 vrshrn.i16
F2900850 vrshrn.i32
F2A00850 vrshrn.i64
F3BB0580 vrsqrte.f32
F3BB0480 vrsqrte.u32
F2200F10 vrsqrts.f32
F2900310 vrsra.s16
F2A00310 vrsra.s32
F2800390 vrsra.s64
F2880310 vrsra.s8
F3900310 vrsra.u16
F3A00310 vrsra.u32
F3800390 vrsra.u64
F3880310 vrsra.u8
F3800600 vrsubhn.i16
F3900600 vrsubhn.i32
F3A00600 vrsubhn.i64
FE000A00 vseleq.f32
FE000B00 vseleq.f64
FE200A00 vselge.f32
FE200B00 vselge.f64
FE300A00 vselgt.f32
FE300B00 vselgt.f64
FE100A00 vselvs.f32
FE100B00 vselvs.f64
F2900510 vshl.i16
F2A00510 vshl.i32
F2800590 vshl.i64
F2880510 vshl.i8
F2100400 vshl.s16
F2200400 vshl.s32
F2300400 vshl.s64
F2000400 vshl.s8
F3100400 vshl.u16
F3200400 vshl.u32
F3300400 vshl.u64
F3000400 vshl.u8
F3B60300 vshll.i16
F3BA0300 vshll.i32
F3B20300 vshll.i8
F2910A10 vshll.s16
F2A10A10 vshll.s32
F2890A10 vshll.s8
F3910A10 vshll.u16
F3A10A10 vshll.u32
F3890A10 vshll.u8
F2900010 vshr.s16
F2A00010 vshr.s32
F2800090 vshr.s64
F2880010 vshr.s8
F3900010 vshr.u16
F3A00010 vshr.u32
F3800090 vshr.u64
F3880010 vshr.u8
F2880810 vshrn.i16
F2900810 vshrn.i32
F2A00810 vshrn.i64
F3900510 vsli.16
F3A00510 vsli.32
F3800590 vsli.64
F3880510 vsli.8
6EB10AC0 vsqrt<c>.f32
6EB10BC0 vsqrt<c>.f64
F2900110 vsra.s16
F2A00110 vsra.s32
F2800190 vsra.s64
F2880110 vsra.s8
F3900110 vsra.u16
F3A00110 vsra.u32
F3800190 vsra.u64
F3880110 vsra.u8
F3900410 vsri.16
F3A00410 vsri.32
F3800490 vsri.64
F3880410 vsri.8
F4000240 vst1.16
F4000280 vst1.32
F40002C0 vst1.64
F4000200 vst1.8
F4000340 vst2.16
F4000380 vst2.32
F4000300 vst2.8
F4000440 vst3.16
F4000480 vst3.32
F4000400 vst3.8
F4000040 vst4.16
F4000080 vst4.32
F4000000 vst4.8
6D200A00 vstmdb<c>
6C800A00 vstmia<c>
6D000A00 vstr<c>
F3100800 vsub.i16
F3200800 vsub.i32
F3300800 vsub.i64
F3000800 vsub.i8
6E300A40 vsub<c>.f32
6E300B40 vsub<c>.f64
F2800600 vsubhn.i16
F2900600 vsubhn.i32
F2A00600 vsubhn.i64
F2900200 vsubl.s16
F2A00200 vsubl.s32
F2800200 vsubl.s8
F3900200 vsubl.u16
F3A00200 vsubl.u32
F3800200 vsubl.u8
9E300A40 vsubls.f32
9E300B40 vsubls.f64
F2900300 vsubw.s16
F2A00300 vsubw.s32
F2800300 vsubw.s8
F3900300 vsubw.u16
F3A00300 vsubw.u32
F3800300 vsubw.u8
F3B20000 vswp
F3B00800 vtbl.8
F3B00840 vtbx.8
F3B60080 vtrn.16
