'vcmpgtsw': 0x10000386
'vcmpgtub': 0x10000206
'vcmpgtuh': 0x10000246
'vcmpgtuw': 0x10000286
'vctsxs': 0x100003CA
'vctuxs': 0x1000038A
'vexptefp': 0x1000018A
'vlogefp': 0x100001CA
'vmaddfp': 0x1000002E
'vmaxfp': 0x1000040A
'vmaxsb': 0x10000102
'vmaxsh': 0x10000142
'vmaxsw': 0x10000182
'vmaxub': 0x10000002
'vmaxuh': 0x10000042
'vmaxuw': 0x10000082
'vmhaddshs': 0x10000020
'vmhraddshs': 0x10000021
'vminfp': 0x1000044A
'vminsb': 0x10000302
'vminsh': 0x10000342
'vminsw': 0x10000382
'vminub': 0x10000202
'vminuh': 0x10000242
'vminuw': 0x10000282
'vmladduhm': 0x10000022
'vmrghb': 0x1000000C
'vmrghh': 0x1000004C
'vmrghw': 0x1000008C
'vmrglb': 0x1000010C
'vmrglh': 0x1000014C
'vmrglw': 0x1000018C
'vmsummbm': 0x10000025
'vmsumshm': 0x10000028
'vmsumshs': 0x10000029
'vmsumubm': 0x10000024
'vmsumuhm': 0x10000026
'vmsumuhs': 0x10000027
'vmulesb': 0x10000308
'vmulesh': 0x10000348
'vmuleub': 0x10000208
'vmuleuh': 0x10000248
'vmulosb': 0x10000108
'vmulosh': 0x10000148
'vmuloub': 0x10000008
'vmulouh': 0x10000048
'vnmsubfp': 0x1000002F
'vnor': 0x10000504
'vor': 0x10000484
'vperm': 0x1000002B
'vpkpx': 0x1000030E
'vpkshss': 0x1000018E
'vpkshus': 0x1000010E
'vpkswss': 0x100001CE
'vpkswus': 0x1000014E
'vpkuhum': 0x1000000E
'vpkuhus': 0x1000008E
'vpkuwum': 0x1000004E
'vpkuwus': 0x100000CE
'vrefp': 0x1000010A
'vrfim': 0x100002CA
'vrfin': 0x1000020A
'vrfip': 0x1000028A
'vrfiz': 0x1000024A
'vrlb': 0x10000004
'vrlh': 0x10000044
'vrlw': 0x10000084
'vrsqrtefp': 0x1000014A
'vsel': 0x1000002A
'vsl': 0x100001C4
'vslb': 0x10000104
'vsldoi': 0x1000002C
'vslh': 0x10000144
'vslo': 0x1000040C
'vslw': 0x10000184
'vspltb': 0x1000020C
'vsplth': 0x1000024C
'vspltisb': 0x1000030C
'vspltish': 0x1000034C
'vspltisw': 0x1000038C
'vspltw': 0x1000028C
'vsr': 0x100002C4
'vsrab': 0x10000304
'vsrah': 0x10000344
'vsraw': 0x10000384
'vsrb': 0x10000204
'vsrh': 0x10000244
'vsro': 0x1000044C
'vsrw': 0x10000284
'vsubcuw': 0x10000580
'vsubfp': 0x1000004A
'vsubsbs': 0x10000700
'vsubshs': 0x10000740
'vsubsws': 0x10000780
'vsububm': 0x10000400
'vsububs': 0x10000600
'vsubuhm': 0x10000440
'vsubuhs': 0x10000640
'vsubuwm': 0x10000480
'vsubuws': 0x10000680
'vsum2sws': 0x10000688
'vsum4sbs': 0x10000708
'vsum4shs': 0x10000648
'vsum4ubs': 0x10000608
'vsumsws': 0x10000788
'vupkhpx': 0x1000034E
'vupkhsb': 0x1000020E
'vupkhsh': 0x1000024E
'vupklpx': 0x100003CE
'vupklsb': 0x1000028E
'vupklsh': 0x100002CE
'vxor': 0x100004C4
'wait': 0x7C00007C
'waitimpl': 0x7C40007C
'waitrsv': 0x7C20007C
'wrtee': 0x7C000106
'wrteei': 0x7C000146
'xnop': 0x68000000
'xor': 0x7C000278
'xori': 0x68000001
'xoris': 0x6C000000
'xsabsdp': 0xF0000564
'xsadddp': 0xF0000100
'xscmpodp': 0xF0000158
'xscmpudp': 0xF0000118
'xscpsgndp': 0xF0000580
'xscvdpsp': 0xF0000424
'xscvdpsxds': 0xF0000560
'xscvdpsxws': 0xF0000160
'xscvdpuxds': 0xF0000520
'xscvdpuxws': 0xF0000120
'xscvspdp': 0xF0000524
'xscvsxddp': 0xF00005E0
'xscvuxddp': 0xF00005A0
'xsdivdp': 0xF00001C0
'xsmaddadp': 0xF0000108
'xsmaddmdp': 0xF0000148
'xsmaxdp': 0xF0000500
'xsmindp': 0xF0000540
'xsmsubadp': 0xF0000188
'xsmsubmdp': 0xF00001C8
'xsmuldp': 0xF0000180
'xsnabsdp': 0xF00005A4
'xsnegdp': 0xF00005E4
'xsnmaddadp': 0xF0000508
'xsnmaddmdp': 0xF0000548
'xsnmsubadp': 0xF0000588
'xsnmsubmdp': 0xF00005C8
'xsrdpi': 0xF0000124
'xsrdpic': 0xF00001AC
'xsrdpim': 0xF00001E4
'xsrdpip': 0xF00001A4
'xsrdpiz': 0xF0000164
'xsredp': 0xF0000168
'xsrsqrtedp': 0xF0000128
'xssqrtdp': 0xF000012C
'xssubdp': 0xF0000140
'xstdivdp': 0xF00001E8
'xstsqrtdp': 0xF00001A8
'xvabsdp': 0xF0000764
'xvabssp': 0xF0000664
'xvadddp': 0xF0000300
'xvaddsp': 0xF0000200
'xvcmpeqdp': 0xF0000318
'xvcmpeqsp': 0xF0000218
'xvcmpgedp': 0xF0000398
'xvcmpgesp': 0xF0000298
'xvcmpgtdp': 0xF0000358
'xvcmpgtsp': 0xF0000258
'xvcpsgndp': 0xF0000782
'xvcpsgnsp': 0xF0000682
'xvcvdpsp': 0xF0000624
'xvcvdpsxds': 0xF0000760
'xvcvdpsxws': 0xF0000360
'xvcvdpuxds': 0xF0000720
'xvcvdpuxws': 0xF0000320
'xvcvspdp': 0xF0000724
'xvcvspsxds': 0xF0000660
'xvcvspsxws': 0xF0000260
'xvcvspuxds': 0xF0000620
'xvcvspuxws': 0xF0000220
'xvcvsxddp': 0xF00007E0
'xvcvsxdsp': 0xF00006E0
'xvcvsxwdp': 0xF00003E0
'xvcvsxwsp': 0xF00002E0
'xvcvuxddp': 0xF00007A0
'xvcvuxdsp': 0xF00006A0
'xvcvuxwdp': 0xF00003A0
'xvcvuxwsp': 0xF00002A0
'xvdivdp': 0xF00003C0
'xvdivsp': 0xF00002C0
'xvmaddadp': 0xF0000308
'xvmaddasp': 0xF0000208
'xvmaddmdp': 0xF0000348
'xvmaddmsp': 0xF0000248
'xvmaxdp': 0xF0000700
'xvmaxsp': 0xF0000600
'xvmindp': 0xF0000740
'xvminsp': 0xF0000640
'xvmovdp': 0xF0000780
'xvmovsp': 0xF0000680
'xvmsubadp': 0xF0000388
'xvmsubasp': 0xF0000288
'xvmsubmdp': 0xF00003C8
'xvmsubmsp': 0xF00002C8
'xvmuldp': 0xF0000380
'xvmulsp': 0xF0000280
'xvnabsdp': 0xF00007A4
'xvnabssp': 0xF00006A4
'xvnegdp': 0xF00007E4
'xvnegsp': 0xF00006E4
'xvnmaddadp': 0xF0000708
'xvnmaddasp': 0xF0000608
'xvnmaddmdp': 0xF0000748
'xvnmaddmsp': 0xF0000648
'xvnmsubadp': 0xF0000788
'xvnmsubasp': 0xF0000688
'xvnmsubmdp': 0xF00007C8
'xvnmsubmsp': 0xF00006C8
'xvrdpi': 0xF0000324
'xvrdpic': 0xF00003AC
'xvrdpim': 0xF00003E4
'xvrdpip': 0xF00003A4
'xvrdpiz': 0xF0000364
'xvredp': 0xF0000368
'xvresp': 0xF0000268
'xvrspi': 0xF0000224
'xvrspic': 0xF00002AC
'xvrspim': 0xF00002E4
'xvrspip': 0xF00002A4
'xvrspiz': 0xF0000264
'xvrsqrtedp': 0xF0000328
'xvrsqrtesp': 0xF0000228
'xvsqrtdp': 0xF000032C
'xvsqrtsp': 0xF000022C
'xvsubdp': 0xF0000340
'xvsubsp': 0xF0000240
'xvtdivdp': 0xF00003E8
'xvtdivsp': 0xF00002E8
'xvtsqrtdp': 0xF00003A8
'xvtsqrtsp': 0xF00002A8
'xxland': 0xF0000410
'xxlandc': 0xF0000450
'xxlnor': 0xF0000510
'xxlor': 0xF0000490
'xxlxor': 0xF00004D0
'xxmrghd': 0xF0000052
'xxmrghw': 0xF0000090
'xxmrgld': 0xF0000352
'xxmrglw': 0xF0000190
'xxpermdi': 0xF0000150
'xxsel': 0xF0000030
'xxsldwi': 0xF0000010
'xxspltd': 0xF0000050
'xxspltw': 0xF0000290
'xxswapd': 0xF0000250
