'stfiwx': 0x7C0007AE
'stfs': 0xD0000000
'stfsu': 0xD4000000
'stfsux': 0x7C00056E
'stfsx': 0x7C00052E
'sth': 0xB0000000
'sthbrx': 0x7C00072C
'sthu': 0xB4000000
'sthux': 0x7C00036E
'sthx': 0x7C00032E
'stmw': 0xBC000000
'stswi': 0x7C0005AA
'stvebx': 0x7C00010E
'stvehx': 0x7C00014E
'stvewx': 0x7C00018E
'stvx': 0x7C0001CE
'stvxl': 0x7C0003CE
'stw': 0x90000000
'stwbrx': 0x7C00052C
'stwcx.': 0x7C00012D
'stwu': 0x94000000
'stwux': 0x7C00016E
'stwx': 0x7C00012E
'stxsdx': 0x7C000598
'stxvd2x': 0x7C000798
'stxvw4x': 0x7C000718
'subf': 0x7C000050
'subf.': 0x7C000051
'subfc': 0x7C000010
'subfc.': 0x7C000011
'subfe': 0x7C000110
'subfe.': 0x7C000111
'subfic': 0x20000000
'subfme': 0x7C0001D0
'subfme.': 0x7C0001D1
'subfze': 0x7C000190
'subfze.': 0x7C000191
'sync': 0x7C0004AC
'td': 0x7C000088
'tdeq': 0x7C800088
'tdeqi': 0x08800000
'tdgt': 0x7D000088
'tdgti': 0x09000000
'tdi': 0x08000000
'tdlgt': 0x7C200088
'tdlgti': 0x08200000
'tdllt': 0x7C400088
'tdllti': 0x08400000
'tdlt': 0x7E000088
'tdlti': 0x0A000000
'tdne': 0x7F000088
'tdnei': 0x0B000000
'tdu': 0x7FE00088
'tdui': 0x0BE00000
'tlbia': 0x7C0002E4
'tlbie': 0x7C000264
'tlbiel': 0x7C000224
'tlbivax': 0x7C000624
'tlbld': 0x7C000FA4
'tlbli': 0x7C0007E4
'tlbre': 0x7C000764
'tlbrehi': 0x7C001764
'tlbrelo': 0x7C000F64
'tlbsx': 0x7C000724
'tlbsx.': 0x7C000725
'tlbsync': 0x7C00046C
'tlbwe': 0x7C0007A4
'tlbwehi': 0x7C0107A4
'tlbwelo': 0x7C010FA4
'trap': 0x7FE00008
'tw': 0x7C000008
'tweq': 0x7C800008
'tweqi': 0x0C800000
'twgt': 0x7D000008
'twgti': 0x0D000000
'twi': 0x0C000000
'twlgt': 0x7C200008
'twlgti': 0x0C200000
'twllt': 0x7C400008
'twllti': 0x0C400000
'twlt': 0x7E000008
'twlti': 0x0E000000
'twne': 0x7F000008
'twnei': 0x0F000000
'twu': 0x7FE00808
'twui': 0x0FE00000
'undef': 0x00000000
'vaddcuw': 0x10000180
'vaddfp': 0x1000000A
'vaddsbs': 0x10000300
'vaddshs': 0x10000340
'vaddsws': 0x10000380
'vaddubm': 0x10000000
'vaddubs': 0x10000200
'vadduhm': 0x10000040
'vadduhs': 0x10000240
'vadduwm': 0x10000080
'vadduws': 0x10000280
'vand': 0x10000404
'vandc': 0x10000444
'vavgsb': 0x10000502
'vavgsh': 0x10000542
'vavgsw': 0x10000582
'vavgub': 0x10000402
'vavguh': 0x10000442
'vavguw': 0x10000482
'vcfsx': 0x1000034A
'vcfux': 0x1000030A
'vcmpbfp': 0x100003C6
'vcmpbfp.': 0x100007C6
'vcmpeqfp': 0x100000C6
'vcmpeqfp.': 0x100004C6
'vcmpequb': 0x10000006
'vcmpequb.': 0x10000406
'vcmpequh': 0x10000046
'vcmpequh.': 0x10000446
'vcmpequw': 0x10000086
'vcmpequw.': 0x10000486
'vcmpgefp': 0x100001C6
'vcmpgefp.': 0x100005C6
'vcmpgtfp': 0x100002C6
'vcmpgtfp.': 0x100006C6
'vcmpgtsb': 0x10000306
'vcmpgtsb.': 0x10000706
'vcmpgtsh': 0x10000346
'vcmpgtsh.': 0x10000746
'vcmpgtsw': 0x10000386
'vcmpgtsw.': 0x10000786
'vcmpgtub': 0x10000206
'vcmpgtub.': 0x10000606
'vcmpgtuh': 0x10000246
'vcmpgtuh.': 0x10000646
'vcmpgtuw': 0x10000286
'vcmpgtuw.': 0x10000686
'vctsxs': 0x100003CA
'vctuxs': 0x1000038A
'vexptefp': 0x1000018A
'vlogefp': 0x100001CA
'vmaddfp': 0x1000002E
'vmaxfp': 0x1000040A
'vmaxsb': 0x10000102
'vmaxsh': 0x10000142
'vmaxsw': 0x10000182
'vmaxub': 0x10000002
'vmaxuh': 0x10000042
'vmaxuw': 0x10000082
'vmhaddshs': 0x10000020
'vmhraddshs': 0x10000021
'vminfp': 0x1000044A
'vminsb': 0x10000302
'vminsh': 0x10000342
'vminsw': 0x10000382
'vminub': 0x10000202
'vminuh': 0x10000242
'vminuw': 0x10000282
'vmladduhm': 0x10000022
'vmrghb': 0x1000000C
'vmrghh': 0x1000004C
'vmrghw': 0x1000008C
'vmrglb': 0x1000010C
'vmrglh': 0x1000014C
'vmrglw': 0x1000018C
'vmsummbm': 0x10000025
'vmsumshm': 0x10000028
'vmsumshs': 0x10000029
'vmsumubm': 0x10000024
'vmsumuhm': 0x10000026
'vmsumuhs': 0x10000027
'vmulesb': 0x10000308
'vmulesh': 0x10000348
'vmuleub': 0x10000208
'vmuleuh': 0x10000248
'vmulosb': 0x10000108
'vmulosh': 0x10000148
'vmuloub': 0x10000008
'vmulouh': 0x10000048
'vnmsubfp': 0x1000002F
'vnor': 0x10000504
'vor': 0x10000484
'vperm': 0x1000002B
'vpkpx': 0x1000030E
'vpkshss': 0x1000018E
'vpkshus': 0x1000010E
'vpkswss': 0x100001CE
'vpkswus': 0x1000014E
'vpkuhum': 0x1000000E
'vpkuhus': 0x1000008E
'vpkuwum': 0x1000004E
'vpkuwus': 0x100000CE
'vrefp': 0x1000010A
'vrfim': 0x100002CA
'vrfin': 0x1000020A
'vrfip': 0x1000028A
'vrfiz': 0x1000024A
'vrlb': 0x10000004
'vrlh': 0x10000044
'vrlw': 0x10000084
'vrsqrtefp': 0x1000014A
'vsel': 0x1000002A
'vsl': 0x100001C4
'vslb': 0x10000104
'vsldoi': 0x1000002C
'vslh': 0x10000144
'vslo': 0x1000040C
'vslw': 0x10000184
'vspltb': 0x1000020C
'vsplth': 0x1000024C
'vspltisb': 0x1000030C
'vspltish': 0x1000034C
'vspltisw': 0x1000038C
'vspltw': 0x1000028C
'vsr': 0x100002C4
'vsrab': 0x10000304
'vsrah': 0x10000344
'vsraw': 0x10000384
'vsrb': 0x10000204
