"dps.w.ph ACREG , GPREG , GPREG": 0x7C000070
"dpsq_s.w.ph ACREG , GPREG , GPREG": 0x7C000170
"dpsq_sa.l.w ACREG , GPREG , GPREG": 0x7C000370
"dpsqx_s.w.ph ACREG , GPREG , GPREG": 0x7C000670
"dpsqx_sa.w.ph ACREG , GPREG , GPREG": 0x7C0006F0
"dpsu.h.qbl ACREG , GPREG , GPREG": 0x7C0002F0
"dpsu.h.qbr ACREG , GPREG , GPREG": 0x7C0003F0
"dpsub_s.d WREG , WREG , WREG": 0x7A600013
"dpsub_s.h WREG , WREG , WREG": 0x7A200013
"dpsub_s.w WREG , WREG , WREG": 0x7A400013
"dpsub_u.d WREG , WREG , WREG": 0x7AE00013
"dpsub_u.h WREG , WREG , WREG": 0x7AA00013
"dpsub_u.w WREG , WREG , WREG": 0x7AC00013
"dpsx.w.ph ACREG , GPREG , GPREG": 0x7C000270
"ehb": 0x000000C0
"ei": 0x41606020
"ei GPREG": 0x41616020
"eret": 0x42000018
"ext GPREG , GPREG , NUM , NUM": 0x7C000000
"extp GPREG , ACREG , NUM": 0x7C0000B8
"extpdp GPREG , ACREG , NUM": 0x7C0002B8
"extpdpv GPREG , ACREG , GPREG": 0x7C0002F8
"extpv GPREG , ACREG , GPREG": 0x7C0000F8
"extr.w GPREG , ACREG , NUM": 0x7C000038
"extr_r.w GPREG , ACREG , NUM": 0x7C000138
"extr_rs.w GPREG , ACREG , NUM": 0x7C0001B8
"extr_s.h GPREG , ACREG , NUM": 0x7C0003B8
"extrv.w GPREG , ACREG , GPREG": 0x7C000078
"extrv_r.w GPREG , ACREG , GPREG": 0x7C000178
"extrv_rs.w GPREG , ACREG , GPREG": 0x7C0001F8
"extrv_s.h GPREG , ACREG , GPREG": 0x7C0003F8
"fadd.d WREG , WREG , WREG": 0x7820001B
"fadd.w WREG , WREG , WREG": 0x7800001B
"fcaf.d WREG , WREG , WREG": 0x7820001A
"fcaf.w WREG , WREG , WREG": 0x7800001A
"fceq.d WREG , WREG , WREG": 0x78A0001A
"fceq.w WREG , WREG , WREG": 0x7880001A
"fclass.d WREG , WREG": 0x7B21001E
"fclass.w WREG , WREG": 0x7B20001E
"fcle.d WREG , WREG , WREG": 0x79A0001A
"fcle.w WREG , WREG , WREG": 0x7980001A
"fclt.d WREG , WREG , WREG": 0x7920001A
"fclt.w WREG , WREG , WREG": 0x7900001A
"fcne.d WREG , WREG , WREG": 0x78E0001C
"fcne.w WREG , WREG , WREG": 0x78C0001C
"fcor.d WREG , WREG , WREG": 0x7860001C
"fcor.w WREG , WREG , WREG": 0x7840001C
"fcueq.d WREG , WREG , WREG": 0x78E0001A
"fcueq.w WREG , WREG , WREG": 0x78C0001A
"fcule.d WREG , WREG , WREG": 0x79E0001A
"fcule.w WREG , WREG , WREG": 0x79C0001A
"fcult.d WREG , WREG , WREG": 0x7960001A
"fcult.w WREG , WREG , WREG": 0x7940001A
"fcun.d WREG , WREG , WREG": 0x7860001A
"fcun.w WREG , WREG , WREG": 0x7840001A
"fcune.d WREG , WREG , WREG": 0x78A0001C
"fcune.w WREG , WREG , WREG": 0x7880001C
"fdiv.d WREG , WREG , WREG": 0x78E0001B
"fdiv.w WREG , WREG , WREG": 0x78C0001B
"fexdo.h WREG , WREG , WREG": 0x7A00001B
"fexdo.w WREG , WREG , WREG": 0x7A20001B
"fexp2.d WREG , WREG , WREG": 0x79E0001B
"fexp2.w WREG , WREG , WREG": 0x79C0001B
"fexupl.d WREG , WREG": 0x7B31001E
"fexupl.w WREG , WREG": 0x7B30001E
"fexupr.d WREG , WREG": 0x7B33001E
"fexupr.w WREG , WREG": 0x7B32001E
"ffint_s.d WREG , WREG": 0x7B3D001E
"ffint_s.w WREG , WREG": 0x7B3C001E
"ffint_u.d WREG , WREG": 0x7B3F001E
"ffint_u.w WREG , WREG": 0x7B3E001E
"ffql.d WREG , WREG": 0x7B35001E
"ffql.w WREG , WREG": 0x7B34001E
"ffqr.d WREG , WREG": 0x7B37001E
"ffqr.w WREG , WREG": 0x7B36001E
"fill.b WREG , GPREG": 0x7B00001E
"fill.d WREG , GPREG": 0x7B03001E
"fill.h WREG , GPREG": 0x7B01001E
"fill.w WREG , GPREG": 0x7B02001E
"flog2.d WREG , WREG": 0x7B2F001E
"flog2.w WREG , WREG": 0x7B2E001E
"floor.w.d FREG , FREG": 0x4620000F
"floor.w.s FREG , FREG": 0x4600000F
"fmadd.d WREG , WREG , WREG": 0x7920001B
"fmadd.w WREG , WREG , WREG": 0x7900001B
"fmax.d WREG , WREG , WREG": 0x7BA0001B
"fmax.w WREG , WREG , WREG": 0x7B80001B
"fmax_a.d WREG , WREG , WREG": 0x7BE0001B
"fmax_a.w WREG , WREG , WREG": 0x7BC0001B
"fmin.d WREG , WREG , WREG": 0x7B20001B
"fmin.w WREG , WREG , WREG": 0x7B00001B
"fmin_a.d WREG , WREG , WREG": 0x7B60001B
"fmin_a.w WREG , WREG , WREG": 0x7B40001B
"fmsub.d WREG , WREG , WREG": 0x7960001B
"fmsub.w WREG , WREG , WREG": 0x7940001B
"fmul.d WREG , WREG , WREG": 0x78A0001B
"fmul.w WREG , WREG , WREG": 0x7880001B
"frcp.d WREG , WREG": 0x7B2B001E
"frcp.w WREG , WREG": 0x7B2A001E
"frint.d WREG , WREG": 0x7B2D001E
"frint.w WREG , WREG": 0x7B2C001E
"frsqrt.d WREG , WREG": 0x7B29001E
"frsqrt.w WREG , WREG": 0x7B28001E
"fsaf.d WREG , WREG , WREG": 0x7A20001A
"fsaf.w WREG , WREG , WREG": 0x7A00001A
"fseq.d WREG , WREG , WREG": 0x7AA0001A
"fseq.w WREG , WREG , WREG": 0x7A80001A
"fsle.d WREG , WREG , WREG": 0x7BA0001A
"fsle.w WREG , WREG , WREG": 0x7B80001A
"fslt.d WREG , WREG , WREG": 0x7B20001A
"fslt.w WREG , WREG , WREG": 0x7B00001A
"fsne.d WREG , WREG , WREG": 0x7AE0001C
"fsne.w WREG , WREG , WREG": 0x7AC0001C
"fsor.d WREG , WREG , WREG": 0x7A60001C
"fsor.w WREG , WREG , WREG": 0x7A40001C
"fsqrt.d WREG , WREG": 0x7B27001E
"fsqrt.w WREG , WREG": 0x7B26001E
"fsub.d WREG , WREG , WREG": 0x7860001B
"fsub.w WREG , WREG , WREG": 0x7840001B
"fsueq.d WREG , WREG , WREG": 0x7AE0001A
"fsueq.w WREG , WREG , WREG": 0x7AC0001A
"fsule.d WREG , WREG , WREG": 0x7BE0001A
"fsule.w WREG , WREG , WREG": 0x7BC0001A
"fsult.d WREG , WREG , WREG": 0x7B60001A
"fsult.w WREG , WREG , WREG": 0x7B40001A
"fsun.d WREG , WREG , WREG": 0x7A60001A
"fsun.w WREG , WREG , WREG": 0x7A40001A
"fsune.d WREG , WREG , WREG": 0x7AA0001C
"fsune.w WREG , WREG , WREG": 0x7A80001C
"ftint_s.d WREG , WREG": 0x7B39001E
"ftint_s.w WREG , WREG": 0x7B38001E
"ftint_u.d WREG , WREG": 0x7B3B001E
"ftint_u.w WREG , WREG": 0x7B3A001E
"ftq.h WREG , WREG , WREG": 0x7A80001B
"ftq.w WREG , WREG , WREG": 0x7AA0001B
"ftrunc_s.d WREG , WREG": 0x7B23001E
"ftrunc_s.w WREG , WREG": 0x7B22001E
"ftrunc_u.d WREG , WREG": 0x7B25001E
"ftrunc_u.w WREG , WREG": 0x7B24001E
"hadd_s.d WREG , WREG , WREG": 0x7A600015
"hadd_s.h WREG , WREG , WREG": 0x7A200015
"hadd_s.w WREG , WREG , WREG": 0x7A400015
"hadd_u.d WREG , WREG , WREG": 0x7AE00015
"hadd_u.h WREG , WREG , WREG": 0x7AA00015
"hadd_u.w WREG , WREG , WREG": 0x7AC00015
"hsub_s.d WREG , WREG , WREG": 0x7B600015
"hsub_s.h WREG , WREG , WREG": 0x7B200015
"hsub_s.w WREG , WREG , WREG": 0x7B400015
"hsub_u.d WREG , WREG , WREG": 0x7BE00015
"hsub_u.h WREG , WREG , WREG": 0x7BA00015
"hsub_u.w WREG , WREG , WREG": 0x7BC00015
"ilvev.b WREG , WREG , WREG": 0x7B000014
"ilvev.d WREG , WREG , WREG": 0x7B600014
"ilvev.h WREG , WREG , WREG": 0x7B200014
"ilvev.w WREG , WREG , WREG": 0x7B400014
"ilvl.b WREG , WREG , WREG": 0x7A000014
"ilvl.d WREG , WREG , WREG": 0x7A600014
"ilvl.h WREG , WREG , WREG": 0x7A200014
"ilvl.w WREG , WREG , WREG": 0x7A400014
"ilvod.b WREG , WREG , WREG": 0x7B800014
"ilvod.d WREG , WREG , WREG": 0x7BE00014
"ilvod.h WREG , WREG , WREG": 0x7BA00014
"ilvod.w WREG , WREG , WREG": 0x7BC00014
"ilvr.b WREG , WREG , WREG": 0x7A800014
"ilvr.d WREG , WREG , WREG": 0x7AE00014
"ilvr.h WREG , WREG , WREG": 0x7AA00014
"ilvr.w WREG , WREG , WREG": 0x7AC00014
"ins GPREG , GPREG , NUM , NUM": 0x7C000004
"insert.b WREG [ NUM ] , GPREG": 0x79000019
"insert.d WREG [ NUM ] , GPREG": 0x79380019
"insert.h WREG [ NUM ] , GPREG": 0x79200019
"insert.w WREG [ NUM ] , GPREG": 0x79300019
"insv GPREG , GPREG": 0x7C00000C
"insve.b WREG [ NUM ] , WREG [ NUM ]": 0x79400019
"insve.d WREG [ NUM ] , WREG [ NUM ]": 0x79780019
"insve.h WREG [ NUM ] , WREG [ NUM ]": 0x79600019
"insve.w WREG [ NUM ] , WREG [ NUM ]": 0x79700019
"j NUM": 0x08000000
"jal NUM": 0x0C000000
"jalr GPREG , GPREG": 0x00000809
"jalr GPREG": 0x0000F809
"jalr.hb GPREG , GPREG": 0x00000C09
"jalr.hb GPREG": 0x0000FC09
"jialc NUM ,": 0xF8000000
"jic NUM ,": 0xD8000000
"jr GPREG": 0x00000008
"jr.hb GPREG": 0x00000409
"lb GPREG , ( GPREG )": 0x80000000
